,credit,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
0,1,F,Y,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19031,1,0,0,0,No,2,-53
1,0,F,N,N,1,157500.0,Working,Higher education,Married,House / apartment,-15773,-309,0,1,0,Sales staff,3,-26
2,1,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13483,-1816,1,1,0,Laborers,2,-9
3,1,F,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12270,-150,0,1,0,Security staff,4,-12
4,1,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,0,0,0,Drivers,3,-3
5,1,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,0,1,Drivers,3,-56
6,1,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,1,0,1,0,No,2,-10
7,1,M,Y,Y,1,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18948,1,0,0,0,No,3,-52
8,0,F,Y,N,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-11229,-3472,1,1,0,Core staff,2,-38
9,1,F,N,Y,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,-18705,-5345,0,0,0,Medicine staff,2,-35
10,1,F,N,Y,2,99000.0,Working,Secondary / secondary special,Married,House / apartment,-12017,-1083,1,1,0,Sales staff,4,-52
11,1,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,0,Managers,2,-3
12,1,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22361,1,0,0,0,No,2,-30
13,1,M,N,N,0,157500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-9849,-219,0,1,0,Unknown,1,-50
14,1,F,Y,N,0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20460,1,0,0,0,No,2,-20
15,1,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14776,-2212,0,0,0,Drivers,4,-51
16,1,F,N,N,1,180000.0,Working,Secondary / secondary special,Married,With parents,-10774,-2592,0,0,0,Unknown,3,-41
17,1,F,N,Y,2,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-13716,-1325,0,0,0,Laborers,3,-31
18,1,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15201,-1845,1,1,0,Core staff,2,-11
19,1,M,Y,Y,0,351000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22329,1,0,0,0,No,2,-26
20,1,F,Y,Y,1,225000.0,Commercial associate,Higher education,Separated,House / apartment,-15671,-232,0,0,1,Laborers,2,-11
21,1,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,0,0,0,Unknown,4,-45
22,1,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12078,-673,1,1,0,Laborers,2,-28
23,1,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13633,-1692,0,1,0,Core staff,4,-45
24,1,F,N,Y,0,193500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15447,-1721,0,0,0,Sales staff,2,-15
25,1,F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-16188,-309,1,1,1,Sales staff,2,-31
26,1,M,N,Y,2,225000.0,State servant,Higher education,Married,House / apartment,-12839,-4584,0,0,0,Unknown,4,-29
27,1,M,Y,Y,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17887,-567,1,0,0,Drivers,2,-29
28,1,F,Y,Y,0,180000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21485,1,0,0,0,No,1,-8
29,1,F,N,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19032,-429,0,1,0,Laborers,2,-55
30,1,F,Y,Y,0,382500.0,Commercial associate,Higher education,Married,House / apartment,-20054,-6427,0,1,0,Managers,2,-19
31,1,F,N,N,0,49500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23871,1,0,0,0,No,1,-45
32,1,F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-15051,-614,1,0,0,Laborers,2,-8
33,1,F,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-19487,-3255,0,1,0,Laborers,1,-16
